seed_id,seed_len,seed_depth,bitmap_size,exec_us,favored,prox_score,stage_max,op0_pos,op0_total,op1_pos,op1_total,op2_pos,op2_total,op3_pos,op3_total,op4_pos,op4_total,op5_pos,op5_total,op6_pos,op6_total,op7_pos,op7_total,op8_pos,op8_total,op9_pos,op9_total,op10_pos,op10_total,op11_pos,op11_total,op12_pos,op12_total,op13_pos,op13_total,op14_pos,op14_total
4,800,2,83,564,1,64,262,7,166,11,173,6,161,7,169,7,177,7,176,9,167,5,164,5,178,8,174,7,165,9,180,8,173,7,186,7,185
4,800,2,83,564,1,64,238,5,20,67,237,6,10,3,15,4,15,4,17,48,127,5,13,4,18,16,38,8,20,28,74,12,39,2,12,5,12
4,800,2,83,564,1,64,245,1,4,4,15,48,245,0,7,1,14,5,21,4,15,4,16,4,17,2,14,4,8,4,17,4,15,5,13,3,11
4,800,2,83,564,1,64,245,6,11,7,17,5,16,3,13,7,15,5,14,4,8,3,14,7,13,3,8,58,245,6,11,2,6,5,12,4,12
4,800,2,83,564,1,64,262,0,11,0,15,0,55,0,13,0,17,0,10,3,221,0,8,0,15,0,6,3,168,4,251,0,16,0,16,0,12
4,800,2,83,564,1,64,238,1,21,0,12,2,47,4,14,1,16,1,12,39,215,0,13,1,15,1,10,26,180,43,232,1,14,0,11,0,16
4,800,2,83,564,1,64,238,1,14,0,12,0,12,0,15,1,9,1,16,50,210,1,11,0,10,2,11,9,97,63,234,0,12,0,8,0,6
4,800,2,83,564,1,64,113,0,5,0,1,0,3,0,8,0,3,0,6,0,85,0,3,0,2,0,5,0,3,0,113,0,5,0,2,0,4
4,800,2,83,564,1,64,203,0,12,2,6,3,8,1,6,1,7,1,8,42,142,1,14,0,7,0,8,0,9,72,202,0,6,0,10,0,10
4,800,2,83,564,1,64,256,0,14,0,14,0,12,1,12,0,6,0,10,5,105,0,13,2,9,1,11,0,6,38,256,0,15,1,11,0,5
4,800,2,83,564,1,64,248,0,8,0,12,0,13,0,13,0,10,0,14,2,24,1,6,0,14,2,11,0,14,32,248,1,8,0,7,0,13
4,800,2,83,564,1,64,259,1,10,0,15,0,19,0,10,0,15,0,15,0,16,0,13,0,13,0,12,0,10,10,259,1,12,0,10,0,7
4,800,2,83,564,1,64,238,0,14,0,11,0,10,0,12,0,9,0,11,0,15,1,13,0,12,0,10,0,9,7,238,0,10,0,7,0,10
4,800,2,83,564,1,64,203,0,10,1,8,1,12,0,8,1,12,0,7,2,11,2,10,1,10,0,5,4,9,84,203,1,10,2,9,1,9
4,800,2,83,564,1,64,245,1,6,1,10,1,11,2,11,1,18,0,7,0,7,0,10,0,13,0,11,1,11,70,245,1,10,0,8,2,17
148,672,3,103,569,1,103,2137,0,105,0,90,0,93,0,93,0,102,0,93,0,91,0,95,0,93,0,85,0,97,11,2137,0,80,0,81,0,105
148,672,3,103,569,1,103,248,0,13,0,13,0,10,0,11,0,6,0,12,0,10,0,13,0,9,0,15,0,16,1,248,0,10,0,6,0,13
148,672,3,103,569,1,103,202,0,9,0,6,0,9,0,12,0,10,2,9,0,12,0,4,0,8,0,6,1,14,5,202,0,10,0,13,0,11
148,672,3,103,569,1,103,241,0,15,0,13,1,15,1,10,0,15,2,18,2,10,1,15,2,14,0,11,1,9,37,241,2,17,0,13,0,11
148,672,3,103,569,1,103,230,1,12,2,9,0,8,0,12,2,15,0,8,0,8,0,16,2,17,0,8,3,14,70,230,1,9,1,9,1,12
148,672,3,103,569,1,103,246,0,10,0,5,0,10,0,10,0,14,0,12,0,14,0,7,0,13,0,10,0,7,11,246,0,11,0,10,0,11
148,672,3,103,569,1,103,209,1,16,0,11,1,13,0,10,0,15,0,12,1,12,0,17,0,14,0,6,1,11,30,209,0,6,0,8,0,8
148,672,3,103,569,1,103,223,0,5,0,6,0,14,0,6,0,12,1,8,0,7,0,7,0,7,0,11,0,6,5,223,0,12,0,10,0,7
148,672,3,103,569,1,103,243,0,7,0,8,0,12,0,7,0,18,0,12,0,10,0,8,0,18,0,12,0,10,3,243,0,10,0,14,0,10
148,672,3,103,569,1,103,238,0,6,0,11,0,10,0,9,0,14,0,8,0,10,1,14,0,9,0,11,0,6,33,238,0,12,0,18,0,14
148,672,3,103,569,1,103,248,2,17,1,12,0,9,0,6,1,10,0,14,0,11,1,14,0,9,1,12,0,9,61,248,1,11,3,17,0,12
148,672,3,103,569,1,103,235,0,12,0,13,0,18,0,13,0,12,0,12,0,22,0,13,0,14,0,18,0,8,2,234,0,12,0,13,0,10
148,672,3,103,569,1,103,235,0,19,0,8,0,9,0,16,0,8,1,11,0,14,0,11,0,10,2,11,1,7,50,235,0,13,0,12,1,12
148,672,3,103,569,1,103,235,0,10,2,9,2,12,1,9,0,6,0,9,0,14,2,9,1,13,0,8,1,15,83,235,1,15,0,6,0,13
148,672,3,103,569,1,103,228,0,16,0,8,1,14,0,9,0,11,0,12,0,11,0,10,0,10,0,12,0,13,8,228,0,12,0,11,0,10
148,672,3,103,569,1,103,223,0,11,1,6,1,6,0,14,2,14,0,15,0,6,0,13,0,10,0,18,1,15,37,223,1,12,0,10,0,11
129,778,3,101,627,1,101,1395,0,59,0,52,1,57,0,63,0,59,0,61,0,49,1,59,1,57,1,61,0,74,32,1395,0,70,1,63,0,63
129,778,3,101,627,1,101,155,0,9,0,10,0,8,0,14,0,4,0,2,0,4,0,7,1,10,0,4,0,10,16,155,0,4,0,7,0,8
129,778,3,101,627,1,101,150,0,3,0,8,0,2,0,8,0,4,0,3,0,5,0,7,0,4,0,7,1,7,14,150,0,11,1,11,1,8
129,778,3,101,627,1,101,162,0,4,0,4,0,7,0,8,0,4,0,13,0,8,0,9,0,4,0,6,0,7,2,162,0,7,0,9,0,5
129,778,3,101,627,1,101,152,0,5,0,9,0,7,0,3,0,9,0,7,0,8,0,12,0,5,0,8,0,5,2,152,0,3,0,11,0,2
129,778,3,101,627,1,101,171,0,7,0,5,0,8,0,6,0,10,0,6,0,7,0,11,0,2,1,10,0,11,4,171,0,8,0,9,0,7
129,778,3,101,627,1,101,148,0,6,0,2,0,2,0,3,0,8,0,9,0,8,0,4,0,5,0,5,0,7,27,148,0,4,0,9,0,5
129,778,3,101,627,1,101,160,0,8,0,7,0,4,0,9,0,12,0,9,1,5,0,11,0,10,0,9,0,6,3,160,0,4,0,3,0,9
129,778,3,101,627,1,101,177,0,7,0,9,1,10,1,12,2,6,2,13,0,8,0,7,1,12,0,6,1,7,22,177,0,8,1,8,1,12
